"GEOID","INVERSE_DIST_10mile","INVERSE_DIST_20mile","COUNT_5mile"
"51013102302",4.63899951232233e-05,5.15448478473441e-05,466
"51013102400",4.63927217616612e-05,5.22235776471588e-05,431
"51013102500",4.32650965365955e-05,4.82070051375156e-05,440
"51013102600",5.56606457095485e-05,6.17491489015917e-05,459
"51013102701",5.32261735363864e-05,5.90016120822581e-05,467
"51013102702",9.82037505101271e-05,0.000108882285110863,460
"51013102801",2.80935684251545e-05,3.11673947974064e-05,502
"51013102802",0.000138688216674038,0.000154029236357516,478
"51013102901",6.08442287789864e-05,6.7888014282905e-05,460
"51013102902",3.77766747233773e-05,4.23192462566995e-05,438
"51013103000",5.26365600933918e-05,5.92396793863762e-05,420
"51013103100",3.02463303608732e-05,3.43026784693743e-05,438
"51013103200",3.57389980971988e-05,3.95471456289083e-05,443
"51013103300",6.68564491491094e-05,7.61678796375814e-05,424
"51013103401",0.000228171199383255,0.000259853223059343,374
"51013103402",3.28726867474256e-05,3.6527764940672e-05,361
"51013103501",4.3915281702235e-05,4.96373435990755e-05,399
"51013103502",4.95011909598631e-05,5.51948388892555e-05,386
"51013103503",3.63677937689602e-05,4.08307199580309e-05,369
"51013103601",5.55334970970333e-05,6.34522905332435e-05,385
"51013103602",0.000117118750367251,0.000132578245069155,366
"51013103700",5.70517259478172e-05,6.5272404890023e-05,408
"51013103800",3.53387776997042e-05,4.0002138950335e-05,425
"51013980100",0.0620218599895853,0.0712402419703266,357
"51013980200",0.0310954046775808,0.0359379573013264,353
"51017920100",0,0,0
"51025930100",0,0,0
"51025930203",0,0,0
"51037930100",0,0,0
"51041100300",0,0,0
"51041100600",0,0,0
"51049930100",0,0,0
"51053980100",0,0,0
"51059415100",2.18822358111427e-05,2.82250246583995e-05,171
"51059415200",2.13863268277268e-05,2.83958799487447e-05,153
"51059415300",1.68828122418259e-05,2.2874102778512e-05,135
"51059415401",1.09526553041406e-05,1.57695189285715e-05,114
"51059415402",1.84450351551918e-05,2.80775957491905e-05,85
"51059415500",7.0366201039869e-06,1.20770088467415e-05,43
"51059415600",1.6288975476168e-05,2.65975457906398e-05,64
"51059415700",7.47415615305638e-06,1.59685065489995e-05,1
"51059415800",6.74907438338144e-06,1.33604571117511e-05,1
"51059415900",1.20408811981562e-05,2.1526276666594e-05,0
"51059416000",7.39477643196688e-06,1.2876205284512e-05,10
"51059416100",8.60861592691247e-06,1.77619966221604e-05,11
"51059416200",5.98288220372276e-06,1.25653923631969e-05,28
"51059416300",1.38527121333129e-05,3.17675626016864e-05,66
"51059420100",2.69211239137473e-05,3.14996449729203e-05,216
"51059420201",2.66766190468696e-05,3.27643923361964e-05,270
"51059420202",5.36288485831973e-05,6.48845330156043e-05,284
"51059420203",3.79591500071076e-05,4.6959072894243e-05,309
"51059420300",1.77566229917116e-05,2.17804613692102e-05,308
"51059420400",3.29987309125142e-05,4.02224174561414e-05,256
"51059420501",5.62418196661807e-05,7.02287363725947e-05,210
"51059420502",5.37288973740861e-05,6.65520383302772e-05,218
"51059420503",3.60085339711803e-05,4.47826782177993e-05,218
"51059420600",1.99269382287043e-05,2.50027056061563e-05,206
"51059420700",2.18125617859121e-05,2.75839131365809e-05,270
"51059420800",2.19665728294484e-05,2.82609360575598e-05,229
"51059421001",3.44773688264524e-05,4.29148650043769e-05,186
"51059421002",1.9868822580479e-05,2.44660370262934e-05,172
"51059421101",1.36531194746252e-05,1.81835293457664e-05,138
"51059421102",2.29383253844294e-05,3.06710249267622e-05,131
"51059421103",1.24029361837965e-05,1.80319704926721e-05,100
"51059421200",3.27616502467534e-05,4.67264313419996e-05,114
"51059421300",1.87224940279016e-05,2.51083246208765e-05,180
"51059421400",9.37784800661299e-06,1.26150493891176e-05,149
"51059421500",7.23671847761204e-06,1.11810688399556e-05,90
"51059421600",7.61946233913023e-06,1.20273019025699e-05,54
"51059421701",9.91713450228709e-06,1.6458253525872e-05,29
"51059421702",1.25960809817617e-05,1.95157251618925e-05,66
"51059421800",7.16266902286848e-06,1.27064106323725e-05,43
"51059421900",1.97642240405004e-05,3.46999286682823e-05,69
"51059422000",1.51988488006878e-05,2.6235928283437e-05,117
"51059422101",8.30690095342495e-06,1.43045733139625e-05,113
"51059422102",9.34709193877847e-06,1.56952446996164e-05,87
"51059422201",1.52860109096242e-05,2.75163517823801e-05,123
"51059422202",1.15789384060026e-05,1.86747491057507e-05,97
"51059422301",2.82576757928972e-05,3.59503739939567e-05,250
"51059422302",1.52979199264768e-05,1.9398904082539e-05,184
"51059422401",3.13986634927827e-05,4.10052832823201e-05,137
"51059422402",1.57951407659227e-05,2.07323884344076e-05,132
"51059422403",2.85164929469148e-05,3.72466048951377e-05,176
"51059430101",1.40604193243428e-05,2.29759385872288e-05,117
"51059430102",2.31610601740921e-05,3.63973804300256e-05,125
"51059430201",1.69880482270732e-05,2.6063907934051e-05,133
"51059430202",1.54997840712327e-05,2.25185376096064e-05,162
"51059430203",2.70278592862852e-05,4.1328864445414e-05,142
"51059430400",1.43790372497162e-05,1.8291457459474e-05,202
"51059430500",6.3702503947584e-05,7.56790624202342e-05,207
"51059430600",1.76079310839851e-05,2.03524706484806e-05,196
"51059430700",4.07327504407784e-05,4.82938494174182e-05,182
"51059430801",2.31826143255787e-05,2.85624875798949e-05,164
"51059430802",2.34966624988682e-05,2.9751728740798e-05,174
"51059430901",2.248128533117e-05,2.98901098155887e-05,174
"51059430902",2.46464251370764e-05,3.43659513383754e-05,170
"51059431001",1.64209245161276e-05,2.34387913207938e-05,146
"51059431002",3.62584760182992e-05,5.14781095480655e-05,164
"51059431300",1.81006864542636e-05,2.58899226710538e-05,149
"51059431400",1.98521740029865e-05,2.69292231279448e-05,165
"51059431500",1.70977549758303e-05,2.16593313877316e-05,166
"51059431600",1.23804930640685e-05,1.51001755033502e-05,182
"51059431801",1.95095819655084e-05,2.84660394255524e-05,163
"51059431802",2.59127018170891e-05,3.64304482899693e-05,188
"51059431900",2.71421674642854e-05,3.74231847125264e-05,201
"51059432000",1.91577729915539e-05,3.12681865533762e-05,107
"51059432100",1.85168508838938e-05,2.99787490204977e-05,110
"51059432201",3.01555383483009e-05,4.51651796528301e-05,120
"51059432202",1.6454282760518e-05,2.4494349146255e-05,117
"51059432300",1.38552610046404e-05,2.13614430786059e-05,84
"51059432401",1.8132514696977e-05,2.86009875982583e-05,74
"51059432402",1.36450755670739e-05,2.08149943158028e-05,119
"51059432500",1.22425020063819e-05,1.87600156280618e-05,140
"51059432600",1.4255093810069e-05,2.13284695384135e-05,136
"51059432701",2.31138995710129e-05,3.29413426957625e-05,130
"51059432702",1.52827767124706e-05,2.35158883127275e-05,125
"51059432800",2.9757965919568e-05,4.55691595682948e-05,121
"51059440100",1.47191719569086e-05,1.85676402195029e-05,262
"51059440201",6.12743467812661e-05,7.18368758618803e-05,336
"51059440202",1.96123911309812e-05,2.37477065618712e-05,315
"51059440300",4.23744311129256e-05,5.12965233671899e-05,314
"51059440501",1.81580986176237e-05,2.47542250077558e-05,200
"51059440502",1.02791028115999e-05,1.5026571957741e-05,138
"51059440600",2.72122381800976e-05,4.15636457365136e-05,116
"51059440701",3.37063161455959e-05,4.38221963238015e-05,212
"51059440702",1.89151486946984e-05,2.44833283792596e-05,228
"51059440800",1.67278624681738e-05,2.16519743319437e-05,256
"51059450100",2.56594530383757e-05,2.94773440424003e-05,350
"51059450200",3.37798001411389e-05,3.82598366300131e-05,408
"51059450300",3.45995422025286e-05,3.87205279628783e-05,430
"51059450400",5.6398949522638e-05,6.37261616101956e-05,465
"51059450500",4.82942277049885e-05,5.48839419211362e-05,411
"51059450601",3.22586931736696e-05,3.76027954823708e-05,351
"51059450602",3.60182931823578e-05,4.0574799127991e-05,393
"51059450701",4.43815670387979e-05,5.21897259980697e-05,332
"51059450702",3.26732073171456e-05,3.74115534491424e-05,341
"51059450800",4.07690833285019e-05,4.69096325832499e-05,374
"51059450900",7.96131279534426e-05,9.16514379594532e-05,408
"51059451000",4.9307295543665e-05,5.65908372131436e-05,405
"51059451100",6.06760278604138e-05,6.88338776993069e-05,467
"51059451200",8.3352620268412e-05,9.45719804731063e-05,446
"51059451300",6.56492855133606e-05,7.33697693510411e-05,459
"51059451400",6.16975253718572e-05,6.76284676693922e-05,491
"51059451501",2.80326752246401e-05,3.11388473809292e-05,481
"51059451502",4.73060606583049e-05,5.16106168859422e-05,502
"51059451601",2.94773667728658e-05,3.25819989814482e-05,506
"51059451602",5.6988734246302e-05,6.35723829391323e-05,487
"51059451800",4.16761044652103e-05,4.69664049946432e-05,479
"51059451900",2.11329714501925e-05,2.39834596002064e-05,406
"51059452000",4.68889133272363e-05,5.36623048435844e-05,402
"51059452101",2.66996743647226e-05,3.07327484803008e-05,346
"51059452102",4.28707224135028e-05,4.93963774499657e-05,328
"51059452200",1.96862916500482e-05,2.28460405363556e-05,322
"51059452301",3.71866244553448e-05,4.31031563232069e-05,306
"51059452302",2.54292986490817e-05,2.99151392255149e-05,267
"51059452400",1.62935461942664e-05,1.90920924308538e-05,261
"51059452501",3.07733435122204e-05,3.56259290173421e-05,331
"51059452502",2.52984808587668e-05,2.88525368908378e-05,387
"51059452600",1.9011114209756e-05,2.20409383029036e-05,314
"51059452700",2.95099703205279e-05,3.29022744281786e-05,504
"51059452801",3.78241019471117e-05,4.14768249120755e-05,518
"51059452802",6.87002432073346e-05,7.53451134679284e-05,511
"51059460100",1.57890376339776e-05,2.35352163851002e-05,156
"51059460200",1.91936307184488e-05,2.78883585485775e-05,179
"51059460300",3.09434757334031e-05,4.20459685106273e-05,178
"51059460400",2.0211391465286e-05,2.61492634730669e-05,202
"51059460501",4.67819066844014e-05,5.64680989863761e-05,233
"51059460502",1.89765811362884e-05,2.25900308279885e-05,277
"51059460600",3.05801905389369e-05,3.70574537092394e-05,312
"51059460701",3.18232036816387e-05,3.88965368582169e-05,286
"51059460702",2.63884863982794e-05,3.26575936030094e-05,249
"51059460800",3.89177523814487e-05,4.74632742360215e-05,260
"51059460900",4.51642040787688e-05,5.70385318064011e-05,230
"51059461000",4.37571316305473e-05,5.60719079263231e-05,228
